Distancia_medicao;Lado;Remocao_anterior;Idade_pavimento_meses;Temperatura_ensaio;Umidade_AISWEB;Operacoes_medicoes;Operacoes_anual;Operacoes_remocoes;Atrito;Nivel de atrito
400;1;0;38;32;66.05;3729;38476;16212;0.81;0.8 e 0.85
500;1;0;38;32;66.05;3729;38476;16212;0.73;0.7 e 0.75
600;1;0;38;32;66.05;3729;38476;16212;0.77;0.75 e 0.8
700;1;0;38;32;66.05;3729;38476;16212;0.79;0.75 e 0.8
800;1;0;38;32;66.05;3729;38476;16212;0.86;0.85 e 0.9
900;1;0;38;32;66.05;3729;38476;16212;0.8;0.8 e 0.85
1000;1;0;38;32;66.05;3729;38476;16212;0.9;0.9 e 0.95
1100;1;0;38;32;66.05;3729;38476;16212;0.83;0.8 e 0.85
1200;1;0;38;32;66.05;3729;38476;16212;0.89;0.85 e 0.9
1300;1;0;38;32;66.05;3729;38476;16212;0.9;0.9 e 0.95
1400;1;0;38;32;66.05;3729;38476;16212;0.81;0.8 e 0.85
1500;1;0;38;32;66.05;3729;38476;16212;0.82;0.8 e 0.85
1600;1;0;38;32;66.05;3729;38476;16212;0.83;0.8 e 0.85
1700;1;0;38;32;66.05;3729;38476;16212;0.93;0.9 e 0.95
1800;1;0;38;32;66.05;3729;38476;16212;0.93;0.9 e 0.95
1900;1;0;38;32;66.05;3729;38476;16212;0.83;0.8 e 0.85
2000;1;0;38;32;66.05;3729;38476;16212;0.72;0.7 e 0.75
2100;1;0;38;32;66.05;3729;38476;16212;0.89;0.85 e 0.9
2200;1;0;38;32;66.05;3729;38476;16212;0.91;0.9 e 0.95
2300;1;0;38;32;66.05;3729;38476;16212;0.86;0.85 e 0.9
2400;1;0;38;32;66.05;3729;38476;16212;0.78;0.75 e 0.8
200;1;1;39;32;65.02;4153;42628;134;0.72;0.7 e 0.75
300;1;1;39;32;65.02;4153;42628;134;0.73;0.7 e 0.75
400;1;1;39;32;65.02;4153;42628;134;0.81;0.8 e 0.85
500;1;1;39;32;65.02;4153;42628;134;0.8;0.8 e 0.85
600;1;1;39;32;65.02;4153;42628;134;0.79;0.75 e 0.8
700;1;1;39;32;65.02;4153;42628;134;0.82;0.8 e 0.85
800;1;1;39;32;65.02;4153;42628;134;0.89;0.85 e 0.9
900;1;1;39;32;65.02;4153;42628;134;0.7;0.7 e 0.75
1000;1;0;39;32;65.02;4153;42628;134;0.7;0.7 e 0.75
1100;1;0;39;32;65.02;4153;42628;134;0.87;0.85 e 0.9
1200;1;0;39;32;65.02;4153;42628;134;0.85;0.85 e 0.9
1300;1;0;39;32;65.02;4153;42628;134;0.82;0.8 e 0.85
1400;1;0;39;32;65.02;4153;42628;134;0.75;0.75 e 0.8
1500;1;0;39;32;65.02;4153;42628;134;0.75;0.75 e 0.8
1600;1;0;39;32;65.02;4153;42628;134;0.75;0.75 e 0.8
1700;1;0;39;32;65.02;4153;42628;134;0.74;0.7 e 0.75
1800;1;0;39;32;65.02;4153;42628;134;0.69;0.65 e 0.7
1900;1;0;39;32;65.02;4153;42628;134;0.68;0.65 e 0.7
2000;1;0;39;32;65.02;4153;42628;134;0.59;0.55 e 0.6
2100;1;0;39;32;65.02;4153;42628;134;0.69;0.65 e 0.7
2200;1;0;39;32;65.02;4153;42628;134;0.68;0.65 e 0.7
2300;1;0;39;32;65.02;4153;42628;134;0.78;0.75 e 0.8
2400;1;0;39;32;65.02;4153;42628;134;0.68;0.65 e 0.7
2500;1;0;39;32;65.02;4153;42628;134;0.64;0.6 e 0.65
200;1;0;40;30;66.77;3997;46625;3997;0.65;0.65 e 0.7
300;1;0;40;30;66.77;3997;46625;3997;0.73;0.7 e 0.75
400;1;0;40;30;66.77;3997;46625;3997;0.73;0.7 e 0.75
500;1;0;40;30;66.77;3997;46625;3997;0.72;0.7 e 0.75
600;1;0;40;30;66.77;3997;46625;3997;0.81;0.8 e 0.85
700;1;0;40;30;66.77;3997;46625;3997;0.78;0.75 e 0.8
800;1;0;40;30;66.77;3997;46625;3997;0.78;0.75 e 0.8
900;1;0;40;30;66.77;3997;46625;3997;0.73;0.7 e 0.75
1000;1;0;40;30;66.77;3997;46625;3997;0.76;0.75 e 0.8
1100;1;0;40;30;66.77;3997;46625;3997;0.84;0.8 e 0.85
1200;1;0;40;30;66.77;3997;46625;3997;0.84;0.8 e 0.85
1300;1;0;40;30;66.77;3997;46625;3997;0.8;0.8 e 0.85
1400;1;0;40;30;66.77;3997;46625;3997;0.76;0.75 e 0.8
1500;1;0;40;30;66.77;3997;46625;3997;0.8;0.8 e 0.85
1600;1;0;40;30;66.77;3997;46625;3997;0.75;0.75 e 0.8
1700;1;0;40;30;66.77;3997;46625;3997;0.74;0.7 e 0.75
1800;1;0;40;30;66.77;3997;46625;3997;0.75;0.75 e 0.8
1900;1;0;40;30;66.77;3997;46625;3997;0.84;0.8 e 0.85
2000;1;0;40;30;66.77;3997;46625;3997;0.81;0.8 e 0.85
2100;1;0;40;30;66.77;3997;46625;3997;0.78;0.75 e 0.8
2200;1;0;40;30;66.77;3997;46625;3997;0.79;0.75 e 0.8
2300;1;0;40;30;66.77;3997;46625;3997;0.8;0.8 e 0.85
2400;1;0;40;30;66.77;3997;46625;3997;0.79;0.75 e 0.8
2500;1;0;40;30;66.77;3997;46625;3997;0.7;0.7 e 0.75
200;1;0;41;29;80.81;4932;1691;8928;0.64;0.6 e 0.65
300;1;0;41;29;80.81;4932;1691;8928;0.69;0.65 e 0.7
400;1;0;41;29;80.81;4932;1691;8928;0.72;0.7 e 0.75
500;1;0;41;29;80.81;4932;1691;8928;0.65;0.65 e 0.7
600;1;0;41;29;80.81;4932;1691;8928;0.64;0.6 e 0.65
700;1;0;41;29;80.81;4932;1691;8928;0.61;0.6 e 0.65
800;1;0;41;29;80.81;4932;1691;8928;0.63;0.6 e 0.65
900;1;0;41;29;80.81;4932;1691;8928;0.68;0.65 e 0.7
1000;1;0;41;29;80.81;4932;1691;8928;0.64;0.6 e 0.65
1100;1;0;41;29;80.81;4932;1691;8928;0.72;0.7 e 0.75
1200;1;0;41;29;80.81;4932;1691;8928;0.76;0.75 e 0.8
1300;1;0;41;29;80.81;4932;1691;8928;0.71;0.7 e 0.75
1400;1;0;41;29;80.81;4932;1691;8928;0.67;0.65 e 0.7
1500;1;0;41;29;80.81;4932;1691;8928;0.73;0.7 e 0.75
1600;1;0;41;29;80.81;4932;1691;8928;0.69;0.65 e 0.7
1700;1;0;41;29;80.81;4932;1691;8928;0.7;0.7 e 0.75
1800;1;0;41;29;80.81;4932;1691;8928;0.68;0.65 e 0.7
1900;1;0;41;29;80.81;4932;1691;8928;0.67;0.65 e 0.7
2000;1;0;41;29;80.81;4932;1691;8928;0.64;0.6 e 0.65
2100;1;0;41;29;80.81;4932;1691;8928;0.82;0.8 e 0.85
2200;1;0;41;29;80.81;4932;1691;8928;0.79;0.75 e 0.8
2300;1;0;41;29;80.81;4932;1691;8928;0.86;0.85 e 0.9
2400;1;0;41;29;80.81;4932;1691;8928;0.66;0.65 e 0.7
2500;1;0;41;29;80.81;4932;1691;8928;0.69;0.65 e 0.7
200;1;1;47;34;58.06;8102;21450;120;0.65;0.65 e 0.7
300;1;1;47;34;58.06;8102;21450;120;0.73;0.7 e 0.75
400;1;1;47;34;58.06;8102;21450;120;0.71;0.7 e 0.75
500;1;1;47;34;58.06;8102;21450;120;0.56;0.55 e 0.6
600;1;1;47;34;58.06;8102;21450;120;0.55;0.55 e 0.6
700;1;1;47;34;58.06;8102;21450;120;0.69;0.65 e 0.7
800;1;1;47;34;58.06;8102;21450;120;0.81;0.8 e 0.85
900;1;1;47;34;58.06;8102;21450;120;0.87;0.85 e 0.9
1000;1;0;47;34;58.06;8102;21450;120;0.84;0.8 e 0.85
1100;1;0;47;34;58.06;8102;21450;120;0.88;0.85 e 0.9
1200;1;0;47;34;58.06;8102;21450;120;0.82;0.8 e 0.85
1300;1;0;47;34;58.06;8102;21450;120;0.71;0.7 e 0.75
1400;1;0;47;34;58.06;8102;21450;120;0.73;0.7 e 0.75
1500;1;0;47;34;58.06;8102;21450;120;0.89;0.85 e 0.9
1600;1;0;47;34;58.06;8102;21450;120;0.82;0.8 e 0.85
1700;1;0;47;34;58.06;8102;21450;120;0.77;0.75 e 0.8
1800;1;0;47;34;58.06;8102;21450;120;0.73;0.7 e 0.75
1900;1;0;47;34;58.06;8102;21450;120;0.7;0.7 e 0.75
2000;1;0;47;34;58.06;8102;21450;120;0.61;0.6 e 0.65
2100;1;0;47;34;58.06;8102;21450;120;0.73;0.7 e 0.75
2200;1;0;47;34;58.06;8102;21450;120;0.7;0.7 e 0.75
2300;1;0;47;34;58.06;8102;21450;120;0.77;0.75 e 0.8
2400;1;0;47;34;58.06;8102;21450;120;0.68;0.65 e 0.7
200;1;0;58;32;60.37;8756;19292;9542;0.59;0.55 e 0.6
300;1;0;58;32;60.37;8756;19292;9542;0.72;0.7 e 0.75
400;1;0;58;32;60.37;8756;19292;9542;0.66;0.65 e 0.7
500;1;0;58;32;60.37;8756;19292;9542;0.71;0.7 e 0.75
600;1;0;58;32;60.37;8756;19292;9542;0.78;0.75 e 0.8
700;1;0;58;32;60.37;8756;19292;9542;0.8;0.8 e 0.85
800;1;0;58;32;60.37;8756;19292;9542;0.8;0.8 e 0.85
900;1;0;58;32;60.37;8756;19292;9542;0.94;0.9 e 0.95
1000;1;0;58;32;60.37;8756;19292;9542;0.98;0.95 e 1.0
1100;1;0;58;32;60.37;8756;19292;9542;0.96;0.95 e 1.0
1200;1;0;58;32;60.37;8756;19292;9542;0.85;0.85 e 0.9
1300;1;0;58;32;60.37;8756;19292;9542;0.64;0.6 e 0.65
1400;1;0;58;32;60.37;8756;19292;9542;0.8;0.8 e 0.85
1500;1;0;58;32;60.37;8756;19292;9542;0.95;0.95 e 1.0
1600;1;0;58;32;60.37;8756;19292;9542;0.89;0.85 e 0.9
1700;1;0;58;32;60.37;8756;19292;9542;0.64;0.6 e 0.65
1800;1;0;58;32;60.37;8756;19292;9542;0.87;0.85 e 0.9
1900;1;0;58;32;60.37;8756;19292;9542;0.8;0.8 e 0.85
2000;1;0;58;32;60.37;8756;19292;9542;0.78;0.75 e 0.8
2100;1;0;58;32;60.37;8756;19292;9542;0.82;0.8 e 0.85
2200;1;0;58;32;60.37;8756;19292;9542;0.78;0.75 e 0.8
2300;1;0;58;32;60.37;8756;19292;9542;0.82;0.8 e 0.85
2400;1;0;58;32;60.37;8756;19292;9542;0.74;0.7 e 0.75
2500;1;0;58;32;60.37;8756;19292;9542;0.66;0.65 e 0.7
200;1;1;64;31;61.3;4994;36889;989;0.67;0.65 e 0.7
300;1;1;64;31;61.3;4994;36889;989;0.74;0.7 e 0.75
400;1;1;64;31;61.3;4994;36889;989;0.73;0.7 e 0.75
500;1;1;64;31;61.3;4994;36889;989;0.67;0.65 e 0.7
600;1;1;64;31;61.3;4994;36889;989;0.74;0.7 e 0.75
700;1;1;64;31;61.3;4994;36889;989;0.73;0.7 e 0.75
800;1;1;64;31;61.3;4994;36889;989;0.8;0.8 e 0.85
900;1;1;64;31;61.3;4994;36889;989;0.81;0.8 e 0.85
1000;1;0;64;31;61.3;4994;36889;989;0.78;0.75 e 0.8
1100;1;0;64;31;61.3;4994;36889;989;0.84;0.8 e 0.85
1200;1;0;64;31;61.3;4994;36889;989;0.7;0.7 e 0.75
1300;1;0;64;31;61.3;4994;36889;989;0.71;0.7 e 0.75
1400;1;0;64;31;61.3;4994;36889;989;0.87;0.85 e 0.9
1500;1;0;64;31;61.3;4994;36889;989;0.81;0.8 e 0.85
1600;1;0;64;31;61.3;4994;36889;989;0.85;0.85 e 0.9
1700;1;0;64;31;61.3;4994;36889;989;0.78;0.75 e 0.8
1800;1;0;64;31;61.3;4994;36889;989;0.76;0.75 e 0.8
1900;1;0;64;31;61.3;4994;36889;989;0.66;0.65 e 0.7
2000;1;0;64;31;61.3;4994;36889;989;0.8;0.8 e 0.85
2100;1;0;64;31;61.3;4994;36889;989;0.79;0.75 e 0.8
2200;1;0;64;31;61.3;4994;36889;989;0.85;0.85 e 0.9
2300;1;0;64;31;61.3;4994;36889;989;0.79;0.75 e 0.8
2400;1;0;64;31;61.3;4994;36889;989;0.71;0.7 e 0.75
200;1;0;66;33;73.93;11053;6386;12041;0.68;0.65 e 0.7
300;1;0;66;33;73.93;11053;6386;12041;0.69;0.65 e 0.7
400;1;0;66;33;73.93;11053;6386;12041;0.73;0.7 e 0.75
500;1;0;66;33;73.93;11053;6386;12041;0.54;0.5 e 0.55
600;1;0;66;33;73.93;11053;6386;12041;0.6;0.6 e 0.65
700;1;0;66;33;73.93;11053;6386;12041;0.71;0.7 e 0.75
800;1;0;66;33;73.93;11053;6386;12041;0.71;0.7 e 0.75
900;1;0;66;33;73.93;11053;6386;12041;0.77;0.75 e 0.8
1000;1;0;66;33;73.93;11053;6386;12041;0.77;0.75 e 0.8
1100;1;0;66;33;73.93;11053;6386;12041;0.71;0.7 e 0.75
1200;1;0;66;33;73.93;11053;6386;12041;0.74;0.7 e 0.75
1300;1;0;66;33;73.93;11053;6386;12041;0.8;0.8 e 0.85
1400;1;0;66;33;73.93;11053;6386;12041;0.75;0.75 e 0.8
1500;1;0;66;33;73.93;11053;6386;12041;0.74;0.7 e 0.75
1600;1;0;66;33;73.93;11053;6386;12041;0.64;0.6 e 0.65
1700;1;0;66;33;73.93;11053;6386;12041;0.66;0.65 e 0.7
1800;1;0;66;33;73.93;11053;6386;12041;0.7;0.7 e 0.75
1900;1;0;66;33;73.93;11053;6386;12041;0.63;0.6 e 0.65
2000;1;0;66;33;73.93;11053;6386;12041;0.61;0.6 e 0.65
2100;1;0;66;33;73.93;11053;6386;12041;0.71;0.7 e 0.75
2200;1;0;66;33;73.93;11053;6386;12041;0.76;0.75 e 0.8
2300;1;0;66;33;73.93;11053;6386;12041;0.73;0.7 e 0.75
2400;1;0;66;33;73.93;11053;6386;12041;0.79;0.75 e 0.8
2500;1;0;66;33;73.93;11053;6386;12041;0.83;0.8 e 0.85
200;1;1;69;29;76.29;9312;15698;672;0.54;0.5 e 0.55
300;1;1;69;29;76.29;9312;15698;672;0.54;0.5 e 0.55
400;1;1;69;29;76.29;9312;15698;672;0.61;0.6 e 0.65
500;1;1;69;29;76.29;9312;15698;672;0.64;0.6 e 0.65
600;1;1;69;29;76.29;9312;15698;672;0.7;0.7 e 0.75
700;1;1;69;29;76.29;9312;15698;672;0.72;0.7 e 0.75
800;1;1;69;29;76.29;9312;15698;672;0.71;0.7 e 0.75
900;1;1;69;29;76.29;9312;15698;672;0.78;0.75 e 0.8
1000;1;0;69;29;76.29;9312;15698;672;0.82;0.8 e 0.85
1100;1;0;69;29;76.29;9312;15698;672;0.76;0.75 e 0.8
1200;1;0;69;29;76.29;9312;15698;672;0.71;0.7 e 0.75
1300;1;0;69;29;76.29;9312;15698;672;0.71;0.7 e 0.75
1400;1;0;69;29;76.29;9312;15698;672;0.75;0.75 e 0.8
1500;1;0;69;29;76.29;9312;15698;672;0.74;0.7 e 0.75
1600;1;0;69;29;76.29;9312;15698;672;0.68;0.65 e 0.7
1700;1;0;69;29;76.29;9312;15698;672;0.69;0.65 e 0.7
1800;1;0;69;29;76.29;9312;15698;672;0.69;0.65 e 0.7
1900;1;0;69;29;76.29;9312;15698;672;0.68;0.65 e 0.7
2000;1;0;69;29;76.29;9312;15698;672;0.61;0.6 e 0.65
2100;1;0;69;29;76.29;9312;15698;672;0.7;0.7 e 0.75
2200;1;0;69;29;76.29;9312;15698;672;0.74;0.7 e 0.75
2300;1;0;69;29;76.29;9312;15698;672;0.73;0.7 e 0.75
2400;1;0;69;29;76.29;9312;15698;672;0.73;0.7 e 0.75
2500;1;0;69;29;76.29;9312;15698;672;0.71;0.7 e 0.75
200;1;0;72;30;65.26;11198;26895;11869;0.56;0.55 e 0.6
300;1;0;72;30;65.26;11198;26895;11869;0.62;0.6 e 0.65
400;1;0;72;30;65.26;11198;26895;11869;0.63;0.6 e 0.65
500;1;0;72;30;65.26;11198;26895;11869;0.53;0.5 e 0.55
600;1;0;72;30;65.26;11198;26895;11869;0.52;0.5 e 0.55
700;1;0;72;30;65.26;11198;26895;11869;0.68;0.65 e 0.7
800;1;0;72;30;65.26;11198;26895;11869;0.76;0.75 e 0.8
900;1;0;72;30;65.26;11198;26895;11869;0.79;0.75 e 0.8
1000;1;0;72;30;65.26;11198;26895;11869;0.79;0.75 e 0.8
1100;1;0;72;30;65.26;11198;26895;11869;0.72;0.7 e 0.75
1200;1;0;72;30;65.26;11198;26895;11869;0.73;0.7 e 0.75
1300;1;0;72;30;65.26;11198;26895;11869;0.73;0.7 e 0.75
1400;1;0;72;30;65.26;11198;26895;11869;0.84;0.8 e 0.85
1500;1;0;72;30;65.26;11198;26895;11869;0.73;0.7 e 0.75
1600;1;0;72;30;65.26;11198;26895;11869;0.71;0.7 e 0.75
1700;1;0;72;30;65.26;11198;26895;11869;0.68;0.65 e 0.7
1800;1;0;72;30;65.26;11198;26895;11869;0.66;0.65 e 0.7
1900;1;0;72;30;65.26;11198;26895;11869;0.63;0.6 e 0.65
2000;1;0;72;30;65.26;11198;26895;11869;0.59;0.55 e 0.6
2100;1;0;72;30;65.26;11198;26895;11869;0.67;0.65 e 0.7
2200;1;0;72;30;65.26;11198;26895;11869;0.73;0.7 e 0.75
2300;1;0;72;30;65.26;11198;26895;11869;0.73;0.7 e 0.75
2400;1;0;72;30;65.26;11198;26895;11869;0.76;0.75 e 0.8
2500;1;0;72;30;65.26;11198;26895;11869;0.69;0.65 e 0.7
200;1;1;78;33;70.86;25937;7011;14613;0.56;0.55 e 0.6
300;1;1;78;33;70.86;25937;7011;14613;0.57;0.55 e 0.6
400;1;1;78;33;70.86;25937;7011;14613;0.66;0.65 e 0.7
500;1;1;78;33;70.86;25937;7011;14613;0.57;0.55 e 0.6
600;1;1;78;33;70.86;25937;7011;14613;0.63;0.6 e 0.65
700;1;1;78;33;70.86;25937;7011;14613;0.7;0.7 e 0.75
800;1;1;78;33;70.86;25937;7011;14613;0.75;0.75 e 0.8
900;1;1;78;33;70.86;25937;7011;14613;0.79;0.75 e 0.8
1000;1;0;78;33;70.86;25937;7011;14613;0.8;0.8 e 0.85
1100;1;0;78;33;70.86;25937;7011;14613;0.75;0.75 e 0.8
1200;1;0;78;33;70.86;25937;7011;14613;0.74;0.7 e 0.75
1300;1;0;78;33;70.86;25937;7011;14613;0.71;0.7 e 0.75
1400;1;0;78;33;70.86;25937;7011;14613;0.75;0.75 e 0.8
1500;1;0;78;33;70.86;25937;7011;14613;0.67;0.65 e 0.7
1600;1;0;78;33;70.86;25937;7011;14613;0.71;0.7 e 0.75
1700;1;0;78;33;70.86;25937;7011;14613;0.68;0.65 e 0.7
1800;1;0;78;33;70.86;25937;7011;14613;0.63;0.6 e 0.65
1900;1;0;78;33;70.86;25937;7011;14613;0.64;0.6 e 0.65
2000;1;0;78;33;70.86;25937;7011;14613;0.6;0.6 e 0.65
2100;1;0;78;33;70.86;25937;7011;14613;0.63;0.6 e 0.65
2200;1;0;78;33;70.86;25937;7011;14613;0.66;0.65 e 0.7
2300;1;0;78;33;70.86;25937;7011;14613;0.66;0.65 e 0.7
2400;1;0;78;33;70.86;25937;7011;14613;0.7;0.7 e 0.75
2500;1;0;78;33;70.86;25937;7011;14613;0.64;0.6 e 0.65
200;1;0;81;34;68.51;11104;18115;25718;0.67;0.65 e 0.7
300;1;0;81;34;68.51;11104;18115;25718;0.56;0.55 e 0.6
400;1;0;81;34;68.51;11104;18115;25718;0.66;0.65 e 0.7
500;1;0;81;34;68.51;11104;18115;25718;0.5;0.5 e 0.55
600;1;0;81;34;68.51;11104;18115;25718;0.53;0.5 e 0.55
700;1;0;81;34;68.51;11104;18115;25718;0.68;0.65 e 0.7
800;1;0;81;34;68.51;11104;18115;25718;0.74;0.7 e 0.75
900;1;0;81;34;68.51;11104;18115;25718;0.74;0.7 e 0.75
1000;1;0;81;34;68.51;11104;18115;25718;0.68;0.65 e 0.7
1100;1;0;81;34;68.51;11104;18115;25718;0.68;0.65 e 0.7
1200;1;0;81;34;68.51;11104;18115;25718;0.72;0.7 e 0.75
1300;1;0;81;34;68.51;11104;18115;25718;0.86;0.85 e 0.9
1400;1;0;81;34;68.51;11104;18115;25718;0.71;0.7 e 0.75
1500;1;0;81;34;68.51;11104;18115;25718;0.81;0.8 e 0.85
1600;1;0;81;34;68.51;11104;18115;25718;0.67;0.65 e 0.7
1700;1;0;81;34;68.51;11104;18115;25718;0.76;0.75 e 0.8
1800;1;0;81;34;68.51;11104;18115;25718;0.67;0.65 e 0.7
1900;1;0;81;34;68.51;11104;18115;25718;0.63;0.6 e 0.65
2000;1;0;81;34;68.51;11104;18115;25718;0.64;0.6 e 0.65
2100;1;0;81;34;68.51;11104;18115;25718;0.68;0.65 e 0.7
2200;1;0;81;34;68.51;11104;18115;25718;0.73;0.7 e 0.75
2300;1;0;81;34;68.51;11104;18115;25718;0.78;0.75 e 0.8
2400;1;0;81;34;68.51;11104;18115;25718;0.82;0.8 e 0.85
2500;1;0;81;34;68.51;11104;18115;25718;0.67;0.65 e 0.7
